Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,accel.linear.x,accel.linear.y,accel.linear.z,accel.angular.x,accel.angular.y,accel.angular.z
1623359219.6085634,2643,0,0,,0.0710000023245811,0.0,0.0,0.0,0.0,0.0
1623359219.624431,2644,0,0,,0.1120000034570694,0.0,0.0,0.0,0.0,0.0
1623359219.6459131,2645,0,0,,0.2039999961853027,0.0,0.0,0.0,0.0,0.0
1623359219.666314,2646,0,0,,0.202000007033348,0.0,0.0,0.0,0.0,0.0
1623359219.6858904,2647,0,0,,0.135000005364418,0.0,0.0,0.0,0.0,0.0
1623359219.7138505,2648,0,0,,0.0900000035762786,0.0,0.0,0.0,0.0,0.0
1623359219.7243876,2649,0,0,,0.0610000006854534,0.0,0.0,0.0,0.0,0.0
1623359219.746215,2650,0,0,,0.0410000011324882,0.0,0.0,0.0,0.0,0.0
1623359219.7649164,2651,0,0,,0.0280000008642673,0.0,0.0,0.0,0.0,0.0
1623359219.7843227,2652,0,0,,0.0189999993890523,0.0,0.0,0.0,0.0,0.0
1623359219.8051674,2653,0,0,,0.0769999995827674,0.0,0.0,0.0,0.0,0.0
1623359219.8264945,2654,0,0,,0.1800000071525573,0.0,0.0,0.0,0.0,0.0
1623359219.8452375,2655,0,0,,0.1840000003576278,0.0,0.0,0.0,0.0,0.0
1623359219.8648012,2656,0,0,,0.1870000064373016,0.0,0.0,0.0,0.0,0.0
1623359219.8842723,2657,0,0,,0.2540000081062317,0.0,0.0,0.0,0.0,0.0
1623359219.9137232,2658,0,0,,0.2349999994039535,0.0,0.0,0.0,0.0,0.0
1623359219.9255075,2659,0,0,,0.1570000052452087,0.0,0.0,0.0,0.0,0.0
1623359219.945112,2660,0,0,,0.1049999967217445,0.0,0.0,0.0,0.0,0.0
1623359219.9649544,2661,0,0,,0.1340000033378601,0.0,0.0,0.0,0.0,0.0
1623359219.984769,2662,0,0,,0.2189999967813491,0.0,0.0,0.0,0.0,0.0
1623359220.006531,2663,0,0,,0.210999995470047,0.0,0.0,0.0,0.0,0.0
1623359220.0242522,2664,0,0,,0.1410000026226043,0.0,0.0,0.0,0.0,0.0
1623359220.0452275,2665,0,0,,0.0939999967813491,0.0,0.0,0.0,0.0,0.0
1623359220.065231,2666,0,0,,0.0630000010132789,0.0,0.0,0.0,0.0,0.0
1623359220.085909,2667,0,0,,0.0419999994337558,0.0,0.0,0.0,0.0,0.0
1623359220.111211,2668,0,0,,0.0289999991655349,0.0,0.0,0.0,0.0,0.0
1623359220.125703,2669,0,0,,0.0199999995529651,0.0,0.0,0.0,0.0,0.0
1623359220.1463528,2670,0,0,,0.0140000004321336,0.0,0.0,0.0,0.0,0.0
1623359220.16709,2671,0,0,,0.0099999997764825,0.0,0.0,0.0,0.0,0.0
1623359220.185667,2672,0,0,,0.0070000002160668,0.0,0.0,0.0,0.0,0.0
1623359220.2130387,2673,0,0,,0.0689999982714653,0.0,0.0,0.0,0.0,0.0
1623359220.226061,2674,0,0,,0.1749999970197677,0.0,0.0,0.0,0.0,0.0
1623359220.2466078,2675,0,0,,0.1809999942779541,0.0,0.0,0.0,0.0,0.0
1623359220.2644968,2676,0,0,,0.1220000013709068,0.0,0.0,0.0,0.0,0.0
1623359220.284275,2677,0,0,,0.1449999958276748,0.0,0.0,0.0,0.0,0.0
1623359220.3056886,2678,0,0,,0.2259999960660934,0.0,0.0,0.0,0.0,0.0
1623359220.325529,2679,0,0,,0.2160000056028366,0.0,0.0,0.0,0.0,0.0
1623359220.353593,2680,0,0,,0.2090000063180923,0.0,0.0,0.0,0.0,0.0
1623359220.364999,2681,0,0,,0.2689999938011169,0.0,0.0,0.0,0.0,0.0
1623359220.3847408,2682,0,0,,0.3089999854564667,0.0,0.0,0.0,0.0,0.0
1623359220.4115012,2683,0,0,,0.3350000083446502,0.0,0.0,0.0,0.0,0.0
1623359220.424073,2684,0,0,,0.2899999916553497,0.0,0.0,0.0,0.0,0.0
1623359220.446661,2685,0,0,,0.257999986410141,0.0,0.0,0.0,0.0,0.0
1623359220.4654458,2686,0,0,,0.3009999990463257,0.0,0.0,0.0,0.0,0.0
1623359220.486394,2687,0,0,,0.2660000026226043,0.0,0.0,0.0,0.0,0.0
1623359220.5097582,2688,0,0,,0.1780000030994415,0.0,0.0,0.0,0.0,0.0
1623359220.5256493,2689,0,0,,0.1829999983310699,0.0,0.0,0.0,0.0,0.0
1623359220.5486684,2690,0,0,,0.2509999871253967,0.0,0.0,0.0,0.0,0.0
1623359220.5684242,2691,0,0,,0.2329999953508377,0.0,0.0,0.0,0.0,0.0
1623359220.584375,2692,0,0,,0.221000000834465,0.0,0.0,0.0,0.0,0.0
1623359220.610322,2693,0,0,,0.2770000100135803,0.0,0.0,0.0,0.0,0.0
1623359220.6243846,2694,0,0,,0.25,0.0,0.0,0.0,0.0,0.0
1623359220.644194,2695,0,0,,0.1669999957084655,0.0,0.0,0.0,0.0,0.0
1623359220.6641543,2696,0,0,,0.1759999990463256,0.0,0.0,0.0,0.0,0.0
1623359220.6843135,2697,0,0,,0.2469999939203262,0.0,0.0,0.0,0.0,0.0
1623359220.7153718,2698,0,0,,0.2930000126361847,0.0,0.0,0.0,0.0,0.0
1623359220.7246454,2699,0,0,,0.324999988079071,0.0,0.0,0.0,0.0,0.0
1623359220.7480345,2700,0,0,,0.3459999859333038,0.0,0.0,0.0,0.0,0.0
1623359220.7663243,2701,0,0,,0.3600000143051147,0.0,0.0,0.0,0.0,0.0
1623359220.7846298,2702,0,0,,0.3700000047683716,0.0,0.0,0.0,0.0,0.0
1623359220.8062837,2703,0,0,,0.375,0.0,0.0,0.0,0.0,0.0
1623359220.825915,2704,0,0,,0.3790000081062317,0.0,0.0,0.0,0.0,0.0
1623359220.8443348,2705,0,0,,0.3819999992847442,0.0,0.0,0.0,0.0,0.0
1623359220.8636937,2706,0,0,,0.3840000033378601,0.0,0.0,0.0,0.0,0.0
1623359220.884785,2707,0,0,,0.3849999904632568,0.0,0.0,0.0,0.0,0.0
1623359220.9052007,2708,0,0,,0.3230000138282776,0.0,0.0,0.0,0.0,0.0
